id,id_user,font,device,iteration,id_passage,passage,words,chars,sentences,wpm,seconds,study_step,timestamp,user_type,avg_wpm,is_fastest?,is_slowest?,,is_NonFiction?
8,4,noto_sans,3,2,20,"They appear to be relatively faint points of light in the sky because of their enormous distances from us. The nearest of them is so remote that it would take more than four years for its light to come to the solar system; and others, still within the range of large telescopes, are a thousand times more distant. There are only about 5000 stars visible to the naked eye, but great photographic telescopes that are now used, show several hundreds of millions of them.",84,467,4,562,8.96,normal,1568383191005,,564,1,0,,0
12,4,noto_sans,3,2,22,"The kite was raised; then Franklin tied an iron key to the lower end of the string. After waiting some time, he felt certain that the electricity was coming down the string. He put his knuckle close to the key, and a spark flew out. Next, he took his Leyden Jar and collected the electricity in that. He had made two great discoveries that day: he found out that electricity and lightning are the same thing, and he had also found how to fill his Leyden jar directly from the clouds.",91,483,6,538,10.147,normal,1568383273812,,564,1,0,,0
14,4,noto_sans,3,2,23,"Charles Carroll, the only surviving signer of the Declaration of Independence, was invited to lay the first stone down to signify the start of construction. He said, &quot;I consider this among the most important acts of my life, second only to my signing the Declaration of Independence.&quot; By 1832, the whole line had been opened, making the railroad a total of seventy-two miles in all. By 1842, the railroad had more than 500 miles of track. This construction began a new era of transportation and efficiency for the American people.",90,540,6,591,9.138,normal,1568383302256,,564,1,0,,0
11,4,roboto,3,1,22,"Benjamin Franklin was a great inventor. He believed that the electricity in a Leyden Jar, an antique electrical device consisting of a glass jar and metal foil which could store static electricity, was the same thing as the lightning we see in a thunderstorm. He made a kite out of a silk handkerchief, and fastened a sharp iron point to the upright stick of the kite. One day, when a thunder-storm was coming, Franklin and his son went out to the fields.",82,455,5,502,9.81,normal,1568383263662,,398,0,0,,0
3,4,roboto,3,1,26,"It was a white caravan that looked down from the crest of the mountains upon the green wilderness called Kentucky. The travelers saw the land of hope before them, a wide sweep of rolling country, covered with trees. They were alive with interest and curiosity, because this unknown land was to be their home, but no one was more eager than Henry Ware, a strong, fifteen year old boy. The long journey from their old home in Maryland had been a delight to Henry.",84,461,5,294,17.171,normal,1568383147693,,398,0,0,,1
9,4,times,3,1,25,"The Navajo reservation is a large area of land in the northeastern part of Arizona and the northwestern corner of New Mexico. The Navaho recognize two distinct classes of hogans, winter huts and summer shelters. Winter huts are a staple of Navajo culture. On the outside, they resemble mounds of earth hollowed out. However, they are warm and comfortable. Decoration on the inside or outside of the houses is uncommon, yet, the hogans are usually referred to as &quot;beautiful.&quot;",79,484,7,268,17.684,normal,1568383229706,,374,0,1,,0
17,4,times,3,1,27,"It was a bright, warm day when our ship sailed for the regions of the south. There were a number of boys on the ship, but two of them were my favorites. Jack Martin was a tall, broad-shouldered boy of eighteen, with a handsome, good-humoured face. My other companion was Peterkin Jay. He was little, quick, funny, mischievous, and about fourteen years old. Days dragged on as our friendship grew, and after a while, the days started to blur together.",80,450,7,480,9.99,normal,1568383329474,,374,0,1,,1
31,5,arial,3,2,25,"The rules for building a winter house do not apply to the summer huts. The summer hut is one of the most primitive and simple shelters the Navajo builds. 4 to 5 feet of branches are piled on three sides of a circle 15 or 20 feet in diameter. A fire is built in the center and blankets are thrown over outstanding branches here and there, creating a great amount of shade during the hot summer days. Although it is a makeshift shelter, it is effective to escape from the brutal heat.",92,482,6,243,22.686,normal,1568383435890,,289,0,0,,0
50,5,arial,3,1,26,"It was a white caravan that looked down from the crest of the mountains upon the green wilderness called Kentucky. The travelers saw the land of hope before them, a wide sweep of rolling country, covered with trees. They were alive with interest and curiosity, because this unknown land was to be their home, but no one was more eager than Henry Ware, a strong, fifteen year old boy. The long journey from their old home in Maryland had been a delight to Henry.",84,461,5,334,15.079,normal,1568383561492,,289,0,0,,1
27,5,calibri,3,1,25,"The Navajo reservation is a large area of land in the northeastern part of Arizona and the northwestern corner of New Mexico. The Navaho recognize two distinct classes of hogans, winter huts and summer shelters. Winter huts are a staple of Navajo culture. On the outside, they resemble mounds of earth hollowed out. However, they are warm and comfortable. Decoration on the inside or outside of the houses is uncommon, yet, the hogans are usually referred to as &quot;beautiful.&quot;",79,484,7,152,31.279,normal,1568383413202,,330,1,0,,0
47,5,calibri,3,2,27,"When we approached Cape Horn, the weather became very cold and stormy, and the sailors began to tell stories about the furious gales and the dangers of that terrible cape. Nevertheless we passed the dreaded cape without much rough weather. At last we came among the Coral Islands of the Pacific; and I shall never forget the delight when I looked upon the pure white, dazzling shores, and the rich green palm-trees. The three of us longed to be on land once again.",83,464,5,508,9.807,normal,1568383535156,,330,1,0,,1
37,5,noto_sans,3,1,19,"There are many ways in which the problem of identifying trees may be approached. In almost every tree there is at least one trait that marks its individuality and separates it from other trees. It may be the general form of the tree, its mode of branching, bark, bud, or fruit. It may be some variation in color, or, in the case of the evergreen trees, it may be the number and position of the needles or leaves. The pines belong to the coniferous class of trees; that is, trees that bear cones.",93,495,6,240,23.293,normal,1568383472043,,290,0,0,,0
55,5,noto_sans,3,2,26,"There were no tearful goodbyes as he left. Henry’s entire family came on the journey: his mother, brother and younger sister were in the fourth wagon from the right, and his father stood beside it. As they moved forward, Henry felt like he was coming home, like he had seen this place before. The forests and the mountains were a friendly sight. He seemed to breathe a newer and fresher air than that of Maryland that he left behind, and his mind expanded with the thought of what was to come.",91,493,6,340,16.064,normal,1568383577557,,290,0,0,,1
40,5,roboto,3,2,19,"The pines may be identified from the other coniferous trees by their leaves, which are in the form of needles two inches or more in length. The pine needles are arranged in clusters. Each species has a certain number of needles to the cluster. This is one of the simplest and most direct ways of distinguishing the different pines. In the white pine there are five needles to each cluster, in the pitch pine there are three, and in the Scotch pine there are two.",86,463,6,355,14.527,normal,1568383486571,,319,0,0,,0
60,5,roboto,3,1,24,"The Pueblo region of the United States is historically known as an area where pottery was practiced and worked to perfection. The Pueblos’ first necessity of life is the transportation and preservation of water. In an effort to transport water, the people once tried using skins of animals, but this was unsuccessful as the water sitting in animal skins in a hot climate would contaminate it. Later, a more successful water vessel was created. They were tubes of wood or sections of canes.",83,489,6,282,17.671,normal,1568383609020,,319,0,0,,0
63,5,times,3,2,24,"Although these canes grew in abundance in this area, another, more effective water vessel came into play. Gourds, which also grew in abundance in these places, were better shapes and held a larger volume of water. To help protect and transport the gourd, it was encased in a net of coarse wicker like rope which was made out of yucca leaves or of flexible splints. The use of this wicker with water-vessels points toward the development of the water-tight basketry of the southwest.",83,482,5,335,14.854,normal,1568383623876,,288,0,1,,0
45,5,times,3,1,27,"It was a bright, warm day when our ship sailed for the regions of the south. There were a number of boys on the ship, but two of them were my favorites. Jack Martin was a tall, broad-shouldered boy of eighteen, with a handsome, good-humoured face. My other companion was Peterkin Jay. He was little, quick, funny, mischievous, and about fourteen years old. Days dragged on as our friendship grew, and after a while, the days started to blur together.",80,450,7,241,19.919,normal,1568383525348,,288,0,1,,1
90,6,arial,3,2,20,"They appear to be relatively faint points of light in the sky because of their enormous distances from us. The nearest of them is so remote that it would take more than four years for its light to come to the solar system; and others, still within the range of large telescopes, are a thousand times more distant. There are only about 5000 stars visible to the naked eye, but great photographic telescopes that are now used, show several hundreds of millions of them.",84,467,4,214,23.519,normal,1568383740067,,194,0,0,,0
153,6,arial,3,1,22,"Benjamin Franklin was a great inventor. He believed that the electricity in a Leyden Jar, an antique electrical device consisting of a glass jar and metal foil which could store static electricity, was the same thing as the lightning we see in a thunderstorm. He made a kite out of a silk handkerchief, and fastened a sharp iron point to the upright stick of the kite. One day, when a thunder-storm was coming, Franklin and his son went out to the fields.",82,455,5,173,28.446,normal,1568383934008,,194,0,0,,0
84,6,calibri,3,1,20,"The dominant member of the solar system is the sun. Its volume is more than a million times that of the earth. Its temperature is far higher than any that can be produced on the earth, even in the most efficient electric furnaces. Tools, like high powered telescopes, are used to show that the sun contains many elements, particularly metals. The stars that seem to fill the sky on a clear night are suns. Many of these stars are much larger and more brilliant than our own sun.",88,478,7,186,28.336,normal,1568383716539,,193,0,0,,0
136,6,calibri,3,2,23,"Charles Carroll, the only surviving signer of the Declaration of Independence, was invited to lay the first stone down to signify the start of construction. He said, &quot;I consider this among the most important acts of my life, second only to my signing the Declaration of Independence.&quot; By 1832, the whole line had been opened, making the railroad a total of seventy-two miles in all. By 1842, the railroad had more than 500 miles of track. This construction began a new era of transportation and efficiency for the American people.",90,540,6,199,27.12,normal,1568383882647,,193,0,0,,0
129,6,noto_sans,3,1,23,"On February 12, 1827, two men - Philip E. Thomas and George Brown - held a meeting to determine the best way to restore trade that had been lost in the Baltimore region. The result was a petition to open &quot;The Baltimore and Ohio Railroad Company&quot; which would have the right to build and operate a railroad from the city of Baltimore to the Ohio River. The construction of the railroad began on July 4, 1828.",76,416,5,170,26.773,normal,1568383855521,,183,0,1,,0
191,6,noto_sans,3,2,27,"When we approached Cape Horn, the weather became very cold and stormy, and the sailors began to tell stories about the furious gales and the dangers of that terrible cape. Nevertheless we passed the dreaded cape without much rough weather. At last we came among the Coral Islands of the Pacific; and I shall never forget the delight when I looked upon the pure white, dazzling shores, and the rich green palm-trees. The three of us longed to be on land once again.",83,464,5,195,25.496,normal,1568384025630,,183,0,1,,1
110,6,poynter_gothic_text,3,2,24,"Although these canes grew in abundance in this area, another, more effective water vessel came into play. Gourds, which also grew in abundance in these places, were better shapes and held a larger volume of water. To help protect and transport the gourd, it was encased in a net of coarse wicker like rope which was made out of yucca leaves or of flexible splints. The use of this wicker with water-vessels points toward the development of the water-tight basketry of the southwest.",83,482,5,212,23.513,normal,1568383811873,,198,0,0,,0
179,6,poynter_gothic_text,3,1,27,"It was a bright, warm day when our ship sailed for the regions of the south. There were a number of boys on the ship, but two of them were my favorites. Jack Martin was a tall, broad-shouldered boy of eighteen, with a handsome, good-humoured face. My other companion was Peterkin Jay. He was little, quick, funny, mischievous, and about fourteen years old. Days dragged on as our friendship grew, and after a while, the days started to blur together.",80,450,7,184,26.141,normal,1568384000129,,198,0,0,,1
165,6,times,3,2,22,"The kite was raised; then Franklin tied an iron key to the lower end of the string. After waiting some time, he felt certain that the electricity was coming down the string. He put his knuckle close to the key, and a spark flew out. Next, he took his Leyden Jar and collected the electricity in that. He had made two great discoveries that day: he found out that electricity and lightning are the same thing, and he had also found how to fill his Leyden jar directly from the clouds.",91,483,6,235,23.218,normal,1568383957231,,211,1,0,,0
103,6,times,3,1,24,"The Pueblo region of the United States is historically known as an area where pottery was practiced and worked to perfection. The Pueblos’ first necessity of life is the transportation and preservation of water. In an effort to transport water, the people once tried using skins of animals, but this was unsuccessful as the water sitting in animal skins in a hot climate would contaminate it. Later, a more successful water vessel was created. They were tubes of wood or sections of canes.",83,489,6,186,26.807,normal,1568383788357,,211,1,0,,0
87,7,arial,3,1,26,"It was a white caravan that looked down from the crest of the mountains upon the green wilderness called Kentucky. The travelers saw the land of hope before them, a wide sweep of rolling country, covered with trees. They were alive with interest and curiosity, because this unknown land was to be their home, but no one was more eager than Henry Ware, a strong, fifteen year old boy. The long journey from their old home in Maryland had been a delight to Henry.",84,461,5,184,27.433,normal,1568383719776,,189,0,1,,1
145,7,arial,3,2,27,"When we approached Cape Horn, the weather became very cold and stormy, and the sailors began to tell stories about the furious gales and the dangers of that terrible cape. Nevertheless we passed the dreaded cape without much rough weather. At last we came among the Coral Islands of the Pacific; and I shall never forget the delight when I looked upon the pure white, dazzling shores, and the rich green palm-trees. The three of us longed to be on land once again.",83,464,5,194,25.624,normal,1568383905551,,189,0,1,,1
113,7,calibri,3,2,22,"The kite was raised; then Franklin tied an iron key to the lower end of the string. After waiting some time, he felt certain that the electricity was coming down the string. He put his knuckle close to the key, and a spark flew out. Next, he took his Leyden Jar and collected the electricity in that. He had made two great discoveries that day: he found out that electricity and lightning are the same thing, and he had also found how to fill his Leyden jar directly from the clouds.",91,483,6,228,23.944,normal,1568383815649,,204,0,0,,0
67,7,calibri,3,1,25,"The Navajo reservation is a large area of land in the northeastern part of Arizona and the northwestern corner of New Mexico. The Navaho recognize two distinct classes of hogans, winter huts and summer shelters. Winter huts are a staple of Navajo culture. On the outside, they resemble mounds of earth hollowed out. However, they are warm and comfortable. Decoration on the inside or outside of the houses is uncommon, yet, the hogans are usually referred to as &quot;beautiful.&quot;",79,484,7,180,26.345,normal,1568383648920,,204,0,0,,0
53,7,helvetica,3,1,20,"The dominant member of the solar system is the sun. Its volume is more than a million times that of the earth. Its temperature is far higher than any that can be produced on the earth, even in the most efficient electric furnaces. Tools, like high powered telescopes, are used to show that the sun contains many elements, particularly metals. The stars that seem to fill the sky on a clear night are suns. Many of these stars are much larger and more brilliant than our own sun.",88,478,7,188,28.059,normal,1568383573265,,197,0,0,,0
92,7,helvetica,3,2,26,"There were no tearful goodbyes as he left. Henry’s entire family came on the journey: his mother, brother and younger sister were in the fourth wagon from the right, and his father stood beside it. As they moved forward, Henry felt like he was coming home, like he had seen this place before. The forests and the mountains were a friendly sight. He seemed to breathe a newer and fresher air than that of Maryland that he left behind, and his mind expanded with the thought of what was to come.",91,493,6,206,26.466,normal,1568383746244,,197,0,0,,1
59,7,noto_sans,3,2,20,"They appear to be relatively faint points of light in the sky because of their enormous distances from us. The nearest of them is so remote that it would take more than four years for its light to come to the solar system; and others, still within the range of large telescopes, are a thousand times more distant. There are only about 5000 stars visible to the naked eye, but great photographic telescopes that are now used, show several hundreds of millions of them.",84,467,4,197,25.522,normal,1568383598789,,196,0,0,,0
105,7,noto_sans,3,1,22,"Benjamin Franklin was a great inventor. He believed that the electricity in a Leyden Jar, an antique electrical device consisting of a glass jar and metal foil which could store static electricity, was the same thing as the lightning we see in a thunderstorm. He made a kite out of a silk handkerchief, and fastened a sharp iron point to the upright stick of the kite. One day, when a thunder-storm was coming, Franklin and his son went out to the fields.",82,455,5,195,25.196,normal,1568383791703,,196,0,0,,0
75,7,times,3,2,25,"The rules for building a winter house do not apply to the summer huts. The summer hut is one of the most primitive and simple shelters the Navajo builds. 4 to 5 feet of branches are piled on three sides of a circle 15 or 20 feet in diameter. A fire is built in the center and blankets are thrown over outstanding branches here and there, creating a great amount of shade during the hot summer days. Although it is a makeshift shelter, it is effective to escape from the brutal heat.",92,482,6,239,23.122,normal,1568383672046,,209,1,0,,0
135,7,times,3,1,27,"It was a bright, warm day when our ship sailed for the regions of the south. There were a number of boys on the ship, but two of them were my favorites. Jack Martin was a tall, broad-shouldered boy of eighteen, with a handsome, good-humoured face. My other companion was Peterkin Jay. He was little, quick, funny, mischievous, and about fourteen years old. Days dragged on as our friendship grew, and after a while, the days started to blur together.",80,450,7,178,27.012,normal,1568383879925,,209,1,0,,1
89,9,arial,3,1,19,"There are many ways in which the problem of identifying trees may be approached. In almost every tree there is at least one trait that marks its individuality and separates it from other trees. It may be the general form of the tree, its mode of branching, bark, bud, or fruit. It may be some variation in color, or, in the case of the evergreen trees, it may be the number and position of the needles or leaves. The pines belong to the coniferous class of trees; that is, trees that bear cones.",93,495,6,422,13.209,normal,1568383733185,,341,0,0,,0
56,9,arial,3,2,25,"The rules for building a winter house do not apply to the summer huts. The summer hut is one of the most primitive and simple shelters the Navajo builds. 4 to 5 feet of branches are piled on three sides of a circle 15 or 20 feet in diameter. A fire is built in the center and blankets are thrown over outstanding branches here and there, creating a great amount of shade during the hot summer days. Although it is a makeshift shelter, it is effective to escape from the brutal heat.",92,482,6,260,21.25,normal,1568383586906,,341,0,0,,0
69,9,calibri,3,2,26,"There were no tearful goodbyes as he left. Henry’s entire family came on the journey: his mother, brother and younger sister were in the fourth wagon from the right, and his father stood beside it. As they moved forward, Henry felt like he was coming home, like he had seen this place before. The forests and the mountains were a friendly sight. He seemed to breathe a newer and fresher air than that of Maryland that he left behind, and his mind expanded with the thought of what was to come.",91,493,6,331,16.476,normal,1568383649089,,308,0,0,,1
104,9,calibri,3,1,28,"&quot;Viva Garibaldi!&quot; sang a young Italian boy in an uptown street. He held a battered violin that looked as if it had been used for generations. The young singer was twelve years old, but small for his age. In spite of the dirt, his face was strikingly handsome, especially when he smiled. He was always smiling in spite of hardships, which were many in his life. Phil had been wandering the streets, singing and playing for two hours. However, he had not received a penny.",85,480,8,285,17.922,normal,1568383785120,,308,0,0,,1
78,9,noto_sans,3,1,21,"At age 15, young Beethoven played the organ every morning at the six o'clock mass in the Minorite church that he and his family attended. As a creative young mind, he took an interest in other composers’ works. He studied Bach’s compositions so much that he was able to play the greater part of the &quot;Well-tempered Clavichord&quot; at twelve years old. As a boy, he was shy and reserved. Instead of playing with children his age, he began learning the art of music composition.",84,481,6,291,17.322,normal,1568383682912,,366,1,0,,0
108,9,noto_sans,3,2,28,"He was about to change his position when the basement door of one of the houses opened, and a servant came out. &quot;My young master wants to hear you play on your fiddle,&quot; said the servant. &quot;He’s sick, and can’t come out.&quot; Phil followed through the giant house up to the parlor where the sick boy sat. The little fiddler, who had never been invited into a fine house before, looked with admiration at the handsome furniture. He knew that this could be a moment that changed his life.",89,500,7,440,12.145,normal,1568383797269,,366,1,0,,1
94,9,roboto,3,2,19,"The pines may be identified from the other coniferous trees by their leaves, which are in the form of needles two inches or more in length. The pine needles are arranged in clusters. Each species has a certain number of needles to the cluster. This is one of the simplest and most direct ways of distinguishing the different pines. In the white pine there are five needles to each cluster, in the pitch pine there are three, and in the Scotch pine there are two.",86,463,6,410,12.573,normal,1568383745764,,346,0,0,,0
64,9,roboto,3,1,26,"It was a white caravan that looked down from the crest of the mountains upon the green wilderness called Kentucky. The travelers saw the land of hope before them, a wide sweep of rolling country, covered with trees. They were alive with interest and curiosity, because this unknown land was to be their home, but no one was more eager than Henry Ware, a strong, fifteen year old boy. The long journey from their old home in Maryland had been a delight to Henry.",84,461,5,282,17.867,normal,1568383632608,,346,0,0,,1
82,9,times,3,2,21,"In fact, he is said to have written a cantata at the age of ten. When he was seventeen he went to Vienna, Italy. Here, he met Mozart who was at the height of his fame. On his first meeting with Mozart, Beethoven performed a composition influenced by the great composer. In fact, he played with such an effect and such emotion that when he finished, Mozart made a remark that people should, &quot;Pay attention to him. He will make a noise in the world some day.&quot;",87,467,7,279,18.727,normal,1568383701645,,278,0,1,,0
52,9,times,3,1,25,"The Navajo reservation is a large area of land in the northeastern part of Arizona and the northwestern corner of New Mexico. The Navaho recognize two distinct classes of hogans, winter huts and summer shelters. Winter huts are a staple of Navajo culture. On the outside, they resemble mounds of earth hollowed out. However, they are warm and comfortable. Decoration on the inside or outside of the houses is uncommon, yet, the hogans are usually referred to as &quot;beautiful.&quot;",79,484,7,276,17.198,normal,1568383565650,,278,0,1,,0
133,10,arial,4,2,25,"The rules for building a winter house do not apply to the summer huts. The summer hut is one of the most primitive and simple shelters the Navajo builds. 4 to 5 feet of branches are piled on three sides of a circle 15 or 20 feet in diameter. A fire is built in the center and blankets are thrown over outstanding branches here and there, creating a great amount of shade during the hot summer days. Although it is a makeshift shelter, it is effective to escape from the brutal heat.",92,482,6,208,26.588,normal,1568383881955,,205,0,0,,0
83,10,arial,4,1,27,"It was a bright, warm day when our ship sailed for the regions of the south. There were a number of boys on the ship, but two of them were my favorites. Jack Martin was a tall, broad-shouldered boy of eighteen, with a handsome, good-humoured face. My other companion was Peterkin Jay. He was little, quick, funny, mischievous, and about fourteen years old. Days dragged on as our friendship grew, and after a while, the days started to blur together.",80,450,7,201,23.878,normal,1568383722978,,205,0,0,,1
121,10,calibri,4,1,25,"The Navajo reservation is a large area of land in the northeastern part of Arizona and the northwestern corner of New Mexico. The Navaho recognize two distinct classes of hogans, winter huts and summer shelters. Winter huts are a staple of Navajo culture. On the outside, they resemble mounds of earth hollowed out. However, they are warm and comfortable. Decoration on the inside or outside of the houses is uncommon, yet, the hogans are usually referred to as &quot;beautiful.&quot;",79,484,7,197,24.104,normal,1568383855363,,223,0,0,,0
72,10,calibri,4,2,28,"He was about to change his position when the basement door of one of the houses opened, and a servant came out. &quot;My young master wants to hear you play on your fiddle,&quot; said the servant. &quot;He’s sick, and can’t come out.&quot; Phil followed through the giant house up to the parlor where the sick boy sat. The little fiddler, who had never been invited into a fine house before, looked with admiration at the handsome furniture. He knew that this could be a moment that changed his life.",89,500,7,249,21.411,normal,1568383675843,,223,0,0,,1
109,10,noto_sans,4,2,21,"In fact, he is said to have written a cantata at the age of ten. When he was seventeen he went to Vienna, Italy. Here, he met Mozart who was at the height of his fame. On his first meeting with Mozart, Beethoven performed a composition influenced by the great composer. In fact, he played with such an effect and such emotion that when he finished, Mozart made a remark that people should, &quot;Pay attention to him. He will make a noise in the world some day.&quot;",87,467,7,243,21.5,normal,1568383814360,,241,1,0,,0
66,10,noto_sans,4,1,28,"&quot;Viva Garibaldi!&quot; sang a young Italian boy in an uptown street. He held a battered violin that looked as if it had been used for generations. The young singer was twelve years old, but small for his age. In spite of the dirt, his face was strikingly handsome, especially when he smiled. He was always smiling in spite of hardships, which were many in his life. Phil had been wandering the streets, singing and playing for two hours. However, he had not received a penny.",85,480,8,239,21.324,normal,1568383654427,,241,1,0,,1
100,10,roboto,4,1,21,"At age 15, young Beethoven played the organ every morning at the six o'clock mass in the Minorite church that he and his family attended. As a creative young mind, he took an interest in other composers’ works. He studied Bach’s compositions so much that he was able to play the greater part of the &quot;Well-tempered Clavichord&quot; at twelve years old. As a boy, he was shy and reserved. Instead of playing with children his age, he began learning the art of music composition.",84,481,6,183,27.486,normal,1568383792855,,165,0,1,,0
57,10,roboto,4,2,23,"Charles Carroll, the only surviving signer of the Declaration of Independence, was invited to lay the first stone down to signify the start of construction. He said, &quot;I consider this among the most important acts of my life, second only to my signing the Declaration of Independence.&quot; By 1832, the whole line had been opened, making the railroad a total of seventy-two miles in all. By 1842, the railroad had more than 500 miles of track. This construction began a new era of transportation and efficiency for the American people.",90,540,6,146,37,normal,1568383604650,,165,0,1,,0
49,10,times,4,1,23,"On February 12, 1827, two men - Philip E. Thomas and George Brown - held a meeting to determine the best way to restore trade that had been lost in the Baltimore region. The result was a petition to open &quot;The Baltimore and Ohio Railroad Company&quot; which would have the right to build and operate a railroad from the city of Baltimore to the Ohio River. The construction of the railroad began on July 4, 1828.",76,416,5,168,27.112,normal,1568383567647,,195,0,0,,0
